Stanox;Latitude;Longitude;CRS Code;NLCDesc;Station Name;Tiploc Code
87950;;;"''";"3 BRIDGES UP DEP SIG TD165";"''";"''"
87904;;;"''";"3BDGS DN TL SDG ENTRY/EXIT";"''";"''"
87915;;;"''";"3BDGS DOWN THAMESLINK SDGS";"''";"''"
50422;;;"''";"A SHOP BOGIE STORE NO.1";"''";"''"
5;;;"''";"AACHEN";"''";"''"
66190;;;"''";"ABBEY JUNCTION";"''";"''"
87591;;;"''";"ABBEY STREET JUNCTION";"''";"''"
4308;;;"''";"ABBEYHILL TURNBACK SDGS";"''";"''"
45185;;;"''";"ABBOTS RIPTON";"''";"''"
40023;;;"''";"ABER GROUND FRAME";"''";"''"
79760;;;"''";"ABERAIDEN SOUTH";"''";"''"
76639;;;"''";"ABERBEEG";"''";"''"
78128;;;"''";"ABERCWMBOI SB";"''";"''"
78205;;;"''";"ABERCYNON JUNCTION";"''";"''"
78203;;;"''";"ABERCYNON SIGNAL A187";"''";"''"
78101;;;"''";"ABERDARE - TRANSRAIL";"''";"''"
2107;;;"''";"ABERDEEN CRAIGINCHES";"''";"''"
2102;;;"''";"ABERDEEN CRAIGINCHES";"''";"''"
2104;;;"''";"ABERDEEN CRAIGINCHES LAFARGE";"''";"''"
2101;;;"''";"ABERDEEN CRAIGINCHES YARD";"''";"''"
2084;;;"''";"ABERDEEN FERRYHILL GOODS LINE";"''";"''"
2077;;;"''";"ABERDEEN H.S.";"''";"''"
2067;;;"''";"ABERDEEN NORTH SIDING";"''";"''"
2069;;;"''";"ABERDEEN PARCELS DOCK";"''";"''"
2080;;;"''";"ABERDEEN SIG A27";"''";"''"
2078;;;"''";"ABERDEEN SIGNAL A75";"''";"''"
2079;;;"''";"ABERDEEN SIGNAL A77";"''";"''"
2061;;;"''";"ABERDEEN WATERLOO";"''";"''"
2062;;;"''";"ABERDEEN WATERLOO GOODS";"''";"''"
76253;;;"''";"ABERGAVENNY SIG 38";"''";"''"
76250;;;"''";"ABERGAVENNY UP SIDINGS";"''";"''"
64306;;;"''";"ABERMULE L.C.";"''";"''"
79519;;;"''";"ABERPERGWM";"''";"''"
78903;;;"''";"ABERTHAW";"''";"''"
78916;;;"''";"ABERTHAW AW 222";"''";"''"
78919;;;"''";"ABERTHAW AW231";"''";"''"
78905;;;"''";"ABERTHAW BRIS CHNL CEMENT EWS";"''";"''"
78902;;;"''";"ABERTHAW CEMENT WORKS LAFARGE";"''";"''"
78907;;;"''";"ABERTHAW POWER STATION CRIPPLE";"''";"''"
78909;;;"''";"ABERTHAW POWER STATION REP PT";"''";"''"
78908;;;"''";"ABERTHAW PWR STN FLINER HVY HL";"''";"''"
78906;;;"''";"ABERTHAW RECEPTION SDGS";"''";"''"
78917;;;"''";"ABERTHAW SIG CF3433";"''";"''"
78918;;;"''";"ABERTHAW SIG CF3440";"''";"''"
78900;;;"''";"ABERTHAW SIGNAL A13";"''";"''"
78904;;;"''";"ABERTHAW SIGNAL A13";"''";"''"
64609;;;"''";"ABERYSTWYTH RUN ROUND LOOP";"''";"''"
7972;;;"''";"ABINGTON";"''";"''"
7947;;;"''";"ABINGTON C.E.";"''";"''"
7971;;;"''";"ABINGTON D.P.L.";"''";"''"
7948;;;"''";"ABINGTON DOWN SIDING";"''";"''"
7970;;;"''";"ABINGTON U.P.L.";"''";"''"
78811;;;"''";"ABP (NON SHIPMENT)";"''";"''"
76452;;;"''";"ABP (NON SHIPMENT)";"''";"''"
77099;;;"''";"ABP (NON SHIPMENT)";"''";"''"
79223;;;"''";"ABP(NON SHIPMENT)";"''";"''"
7299;;;"''";"ABRONHILL TUNNEL";"''";"''"
47104;;;"''";"ACE CHESTERTON";"''";"''"
4107;;;"''";"ACE EDINBURGH";"''";"''"
25826;;;"''";"ACE PW DEPOT INSP BEIGHTON";"''";"''"
16421;;;"''";"ACE SKELTON OUSE ACRES";"''";"''"
16005;;;"''";"ACE TOLLERTON";"''";"''"
1028;;;"''";"ACHEILDH";"''";"''"
752;;;"''";"ACHERES  (FRANCE)";"''";"''"
1080;;;"''";"ACHNASHEEN C.E.";"''";"''"
1087;;;"''";"ACHTERNEED";"''";"''"
72235;;;"''";"ACTON CANAL WHARF";"''";"''"
73239;;;"''";"ACTON GOODS LOOPS";"''";"''"
35555;;;"''";"ACTON GRANGE JUNCTION";"''";"''"
72209;;;"''";"ACTON LANE REC SDGS GBRF";"''";"''"
72211;;;"''";"ACTON LANE RECEPTION SDGS";"''";"''"
73249;;;"''";"ACTON LOCO HOLDING SIDINGS";"''";"''"
72263;;;"''";"ACTON WELLS JN SIG AW149";"''";"''"
72264;;;"''";"ACTON WELLS JN SIG AW150";"''";"''"
72266;;;"''";"ACTON WELLS SIGNAL AW105";"''";"''"
73251;;;"''";"ACTON WEST";"''";"''"
73235;;;"''";"ACTON YARD (EWS)";"''";"''"
73248;;;"''";"ACTON YARD GBRF";"''";"''"
73250;;;"''";"ACTON(ML) MARSHALLING YARD";"''";"''"
86010;;;"''";"ADDLESTONE JUNCTION";"''";"''"
21216;;;"''";"ADMIRALTY PLATFORM";"''";"''"
32561;;;"''";"ADSWOOD ROAD JN";"''";"''"
64505;;;"''";"AFON WEN LC";"''";"''"
31564;;;"''";"AGECROFT JN";"''";"''"
15901;;;"''";"AINDERBY STEEPLE (RT TEST)";"''";"''"
36026;;;"''";"AINTREE SIGNAL 1206";"''";"''"
7325;;;"''";"AIRDRIE";"''";"''"
7326;;;"''";"AIRDRIE C.S.";"''";"''"
9438;;;"''";"AIS GILL SIGNAL BOX";"''";"''"
84060;;;"''";"AISH EMERGENCY CROSSOVER";"''";"''"
65813;;;"''";"ALBION GULF OIL";"''";"''"
65903;;;"''";"ALBRIGHT & WILSON";"''";"''"
10119;;;"''";"ALBRIGHT & WILSON";"''";"''"
10128;;;"''";"ALBRIGHT&WILSON(CAUSTIC)";"''";"''"
10125;;;"''";"ALBRIGHT&WILSON(CLINKER)";"''";"''"
12214;;;"''";"ALCAN BRANCH JUNCTION";"''";"''"
45190;;;"''";"ALCONBURY";"''";"''"
50429;;;"''";"ALDERSBROOK SIGNAL 337/354";"''";"''"
50430;;;"''";"ALDERSBROOK UP CARR SDGS";"''";"''"
87037;;;"''";"ALDERSHOT NORTH JN";"''";"''"
87038;;;"''";"ALDERSHOT SIGNAL WK1371";"''";"''"
87039;;;"''";"ALDERSHOT SIGNAL WK1378";"''";"''"
87013;;;"''";"ALDERSHOT SOUTH JN";"''";"''"
87123;;;"''";"ALDGATE EAST LT";"''";"''"
65532;;;"''";"ALDRIDGE SIG WL42";"''";"''"
24702;;;"''";"ALDWARKE JN S1077";"''";"''"
24500;;;"''";"ALDWARKE JUNCTION";"''";"''"
24703;;;"''";"ALDWARKE LIMIT OF SHUNT";"''";"''"
24502;;;"''";"ALDWARKE REPAIR SIDINGS";"''";"''"
24501;;;"''";"ALDWARKE U.E.S.";"''";"''"
24499;;;"''";"ALDWARKE UES GBRF";"''";"''"
76469;;;"''";"ALEXANDRA DOCKS UDG";"''";"''"
86104;;;"''";"ALLBROOK";"''";"''"
36195;;;"''";"ALLERTON JUNCTION";"''";"''"
36196;;;"''";"ALLERTON SIGNAL AN4";"''";"''"
36191;;;"''";"ALLERTON TMD";"''";"''"
77091;;;"''";"ALLIED STEEL & WIRE (TREM WKS)";"''";"''"
77223;;;"''";"ALLIED STEEL&WIRE (ROD MILL)";"''";"''"
89314;;;"''";"ALLINGTON A.R.C. REVERSE";"''";"''"
89312;;;"''";"ALLINGTON AMEY ROADSTONE CN PS";"''";"''"
44505;;;"''";"ALLINGTON EAST JN";"''";"''"
44509;;;"''";"ALLINGTON JN";"''";"''"
44507;;;"''";"ALLINGTON NORTH JN";"''";"''"
3373;;;"''";"ALLOA LOOP";"''";"''"
64705;;;"''";"ALLSCOTT GF";"''";"''"
12125;;;"''";"ALNMOUTH UP ENG SIDINGS";"''";"''"
87018;;;"''";"ALRESFORD";"''";"''"
66040;;;"''";"ALREWAS L.C.";"''";"''"
68077;;;"''";"ALSTONE CHS";"''";"''"
70093;;;"''";"ALTHORPE PARK (LONG BUCKBY)";"''";"''"
1011;;;"''";"ALTNABREAC CE SIDING";"''";"''"
17196;;;"''";"ALTOFTS JN";"''";"''"
2004;;;"''";"ALVES";"''";"''"
75013;;;"''";"AM&EE BTL AREA TRACTION SWDN";"''";"''"
57110;;;"''";"AMBERGATE JUNCTION";"''";"''"
780;;;"''";"AMBERIEU  (FRANCE)";"''";"''"
73220;;;"''";"AME OOC DSL MTNCE DEPOT PART 1";"''";"''"
74239;;;"''";"AME READING DIESEL MTCE";"''";"''"
73781;;;"''";"AMEY ROADSTONE";"''";"''"
86242;;;"''";"AMEY ROADSTONE";"''";"''"
59004;;;"''";"AMEY ROADSTONE";"''";"''"
86144;;;"''";"AMFS - EASTLEIGH S & M";"''";"''"
88450;;;"''";"AMFS - HOO JN. W.SEC TERM";"''";"''"
88740;;;"''";"AMFS - HOO JN. YARD S & M";"''";"''"
69003;;;"''";"AMINGTON JN";"''";"''"
68996;;;"''";"AMINGTON JN SIG NL1294";"''";"''"
68999;;;"''";"AMINGTON JN SIG NL3487";"''";"''"
69002;;;"''";"AMINGTON JN SIG NL3490";"''";"''"
68994;;;"''";"AMINGTON JN SIG NL5485";"''";"''"
68995;;;"''";"AMINGTON JN SIG NL5488";"''";"''"
68997;;;"''";"AMINGTON JN SIG NL9459";"''";"''"
68998;;;"''";"AMINGTON JN SIG NL9462";"''";"''"
40021;;;"''";"AMLWCH ASSOCTD OCTEL SDGS";"''";"''"
80105;;;"''";"AMOCO";"''";"''"
62200;;;"''";"AMPTHILL";"''";"''"
950;;;"''";"AMSTERDAM CS";"''";"''"
86075;;;"''";"ANDOVER RED POST JN";"''";"''"
86054;;;"''";"ANDOVER SHUNT SIG BE5202";"''";"''"
86072;;;"''";"ANDOVER YARD";"''";"''"
8718;;;"''";"ANDREW BARCLAY & SONS";"''";"''"
88510;;;"''";"ANGERSTEIN JUNCTION";"''";"''"
88507;;;"''";"ANGERSTEIN WHARF FLHH";"''";"''"
88521;;;"''";"ANGERSTEIN WHARF GBRF";"''";"''"
88501;;;"''";"ANGERSTEIN WHARF LONDON";"''";"''"
65320;;;"''";"ANGLESEA SIDINGS";"''";"''"
40006;;;"''";"ANGLESEY ALUMINIUM";"''";"''"
19107;;;"''";"ANLABY ROAD JN";"''";"''"
9032;;;"''";"ANNAN DRS ISU CE";"''";"''"
8606;;;"''";"ANNBANK";"''";"''"
17053;;;"''";"APPERLEY JN";"''";"''"
22005;;;"''";"APPLEBY (HUMBERSIDE)";"''";"''"
22027;;;"''";"APPLEBY FROD ENT B BSC";"''";"''"
22028;;;"''";"APPLEBY FROD ENT DBSC";"''";"''"
9427;;;"''";"APPLEBY NORTH EAST SIDIGS";"''";"''"
74342;;;"''";"APPLEFORD FHH";"''";"''"
74338;;;"''";"APPLEFORD SDGS (GBRf)";"''";"''"
23102;;;"''";"APPLEHURST JN";"''";"''"
35051;;;"''";"APPLEY BRIDGE WIMPEY";"''";"''"
89141;;;"''";"AR & J WOOD";"''";"''"
3026;;;"''";"ARBROATH CROSSOVER";"''";"''"
3024;;;"''";"ARBROATH U.R.S.";"''";"''"
74705;;;"''";"ARC";"''";"''"
74341;;;"''";"ARC";"''";"''"
40041;;;"''";"ARC (WESTERN)";"''";"''"
9511;;;"''";"ARCOW QUARRY GBRF";"''";"''"
9512;;;"''";"ARCOW QUARRY GF";"''";"''"
1042;;;"''";"ARDGAY C.E.";"''";"''"
87965;;;"''";"ARDINGLY";"''";"''"
87964;;;"''";"ARDINGLY HANSON AGGREGATES";"''";"''"
49295;;;"''";"ARDLEIGH";"''";"''"
69450;;;"''";"ARDLEY";"''";"''"
8200;;;"''";"ARDROSSAN CHS";"''";"''"
32042;;;"''";"ARDWICK EAST YARD";"''";"''"
32043;;;"''";"ARDWICK T.M.D";"''";"''"
32052;;;"''";"ARDWICK WEST SIDINGS";"''";"''"
23435;;;"''";"AREA ADJ";"''";"''"
7149;;;"''";"ARKLESTON EAST";"''";"''"
7147;;;"''";"ARKLESTON JN";"''";"''"
7148;;;"''";"ARKLESTON WEST";"''";"''"
23226;;;"''";"ARKSEY D814";"''";"''"
23225;;;"''";"ARKSEY LOOP";"''";"''"
23227;;;"''";"ARKSEY SIGNAL D815";"''";"''"
865;;;"''";"ARLON";"''";"''"
43335;;;"''";"ARMITAGE JN";"''";"''"
17136;;;"''";"ARMLEY JUNCTION";"''";"''"
35549;;;"''";"ARPLEY";"''";"''"
35550;;;"''";"ARPLEY SIDINGS";"''";"''"
743;;;"''";"ARRAS  (FRANCE)";"''";"''"
6107;;;"''";"ARROCHAR & TARBET";"''";"''"
6102;;;"''";"ARROCHAR & TARBET C.E.";"''";"''"
87959;;;"''";"ARUNDEL JUNCTION";"''";"''"
87096;;;"''";"ASCOT DOWN SIDING";"''";"''"
87098;;;"''";"ASCOT SIGNAL F501";"''";"''"
87095;;;"''";"ASCOT SIGNAL F504";"''";"''"
87092;;;"''";"ASCOT SIGNAL F506";"''";"''"
59119;;;"''";"ASFORDBY COLLIERY";"''";"''"
32518;;;"''";"ASH BRIDGE JN";"''";"''"
87015;;;"''";"ASH SIGNAL GD 1331";"''";"''"
87040;;;"''";"ASH VALE SIGNAL WK408";"''";"''"
32049;;;"''";"ASHBURYS LAFARGE";"''";"''"
32051;;;"''";"ASHBURYS S.S";"''";"''"
32048;;;"''";"ASHBURYS WEST JUNCTION";"''";"''"
69013;;;"''";"ASHBY JUNCTION";"''";"''"
68073;;;"''";"ASHCHURCH - MOD (ARMY)";"''";"''"
68074;;;"''";"ASHCHURCH SIGNAL G453";"''";"''"
68072;;;"''";"ASHCHURCH WAR DEPT GF";"''";"''"
68075;;;"''";"ASHCHURCH WAR DEPT. G.F.";"''";"''"
69508;;;"''";"ASHENDON JN";"''";"''"
89438;;;"''";"ASHFORD A JUNCTION";"''";"''"
89422;;;"''";"ASHFORD CRANE DEPOT";"''";"''"
89436;;;"''";"ASHFORD DN YD CNTB END";"''";"''"
89420;;;"''";"ASHFORD DOWN SIGINGS";"''";"''"
89427;;;"''";"ASHFORD DOWN YARD";"''";"''"
89421;;;"''";"ASHFORD DOWN YD WASHER RD";"''";"''"
89419;;;"''";"ASHFORD EAST BERTHING SIDINGS";"''";"''"
89572;;;"''";"ASHFORD EAST JN (CTRL)";"''";"''"
89430;;;"''";"ASHFORD EAST JUNCTION";"''";"''"
89463;;;"''";"ASHFORD SIGNAL 661";"''";"''"
89434;;;"''";"ASHFORD SIGNAL AD2119";"''";"''"
89418;;;"''";"ASHFORD UP SIDINGS";"''";"''"
89566;;;"''";"ASHFORD WEST JN (CTRL)";"''";"''"
89423;;;"''";"ASHFORD WEST JUNCTION";"''";"''"
59118;;;"''";"ASHFORDBY L.C.";"''";"''"
12213;;;"''";"ASHINGTON SIGNAL BOX";"''";"''"
43309;;;"''";"ASHTON BY STONE";"''";"''"
81829;;;"''";"ASHTON JN SIGNAL B335";"''";"''"
81823;;;"''";"ASHTON JUNCTION";"''";"''"
32117;;;"''";"ASHTON MOSS NORTH JUNCTION";"''";"''"
35202;;;"''";"ASHTON-IN-MAKERFIELD K.S.";"''";"''"
87765;;;"''";"ASHURST JN";"''";"''"
59131;;;"''";"ASHWELL L.C.";"''";"''"
11226;;;"''";"ASKAM SIGNAL AM6";"''";"''"
38352;;;"''";"ASSOCIATED OCTEL (OUT OF USE)";"''";"''"
31747;;;"''";"ASTLEY";"''";"''"
29181;;;"''";"ASTLEY BRIDGE JUNCTION";"''";"''"
65650;;;"''";"ASTON SOUTH JN";"''";"''"
841;;;"''";"ATH";"''";"''"
82307;;;"''";"ATHELNEY CROSSING";"''";"''"
32113;;;"''";"ATOCHEM";"''";"''"
55203;;;"''";"ATTENBOROUGH JUNCTION";"''";"''"
25623;;;"''";"ATTERCLIFFE SHEFFIELD";"''";"''"
25622;;;"''";"ATTERCLIFFE SIDINGS";"''";"''"
25621;;;"''";"ATTERCLIFFE STONE TEML D&C";"''";"''"
69032;;;"''";"ATTLEBOROUGH JN SIG RN3431";"''";"''"
69031;;;"''";"ATTLEBOROUGH JN SIG RN9533";"''";"''"
69020;;;"''";"ATTLEBOROUGH NORTH JN";"''";"''"
69023;;;"''";"ATTLEBOROUGH SOUTH JN";"''";"''"
4120;;;"''";"AUCHENGRAY";"''";"''"
3151;;;"''";"AUCHTERARDER";"''";"''"
3152;;;"''";"AUCHTERARDER";"''";"''"
9016;;;"''";"AULDGIRTH";"''";"''"
746;;;"''";"AULNOYE  (FRANCE)";"''";"''"
66523;;;"''";"AUSTIN ROVER GROUP";"''";"''"
75009;;;"''";"AUSTIN ROVER SIDINGS";"''";"''"
60015;;;"''";"AUTO LINK CORBY";"''";"''"
1137;;;"''";"AVIEMORE";"''";"''"
1142;;;"''";"AVIEMORE (SPEYSIDE)";"''";"''"
1140;;;"''";"AVIEMORE DOWN REFUGE SIDING";"''";"''"
1141;;;"''";"AVIEMORE UP REFUGE SIDING";"''";"''"
783;;;"''";"AVIGNON VILLE";"''";"''"
81235;;;"''";"AVONMOUTH (B.B.H.T.)";"''";"''"
81228;;;"''";"AVONMOUTH BENNETS SIDING";"''";"''"
81245;;;"''";"AVONMOUTH CHITTENING PBA";"''";"''"
81234;;;"''";"AVONMOUTH COAL SILO (COLAS)";"''";"''"
81231;;;"''";"AVONMOUTH CTR TERMINAL EWS";"''";"''"
81239;;;"''";"AVONMOUTH ENTERPRISE";"''";"''"
81222;;;"''";"AVONMOUTH HALLEN MARSH";"''";"''"
81233;;;"''";"AVONMOUTH HANSONS SIDING";"''";"''"
81248;;;"''";"AVONMOUTH HENRY BATH SDGS";"''";"''"
81237;;;"''";"AVONMOUTH NATIONAL PWR SILO 1";"''";"''"
81238;;;"''";"AVONMOUTH NATIONAL PWR SILO 2";"''";"''"
81229;;;"''";"AVONMOUTH NO. 5 WHARF EWS";"''";"''"
81242;;;"''";"AVONMOUTH ROCKINGHAM ROAD";"''";"''"
81247;;;"''";"AVONMOUTH ROYAL EDWARD YARD";"''";"''"
81243;;;"''";"AVONMOUTH SIGNAL SA4";"''";"''"
81227;;;"''";"AVONMOUTH WEST WARF (FHH)";"''";"''"
81219;;;"''";"AVONMOUTH WEST WHARF GBRF";"''";"''"
76076;;;"''";"AWRE L.C.";"''";"''"
83457;;;"''";"AXMINSTER EAST JUNCTION";"''";"''"
83456;;;"''";"AXMINSTER WEST JUNCTION";"''";"''"
15125;;;"''";"AYCLIFFE";"''";"''"
70348;;;"''";"AYLESBURY BRANCH SDG";"''";"''"
70354;;;"''";"AYLESBURY D.M.U. DEPOT";"''";"''"
70351;;;"''";"AYLESBURY NORTH LOOP";"''";"''"
70349;;;"''";"AYLESBURY SIG ME302";"''";"''"
70350;;;"''";"AYLESBURY SIG ME792";"''";"''"
70356;;;"''";"AYLESBURY VALE JUNCTION";"''";"''"
89307;;;"''";"AYLESFORD";"''";"''"
69440;;;"''";"AYNHO (CLOSED)";"''";"''"
69443;;;"''";"AYNHO 501";"''";"''"
69441;;;"''";"AYNHO PARK JUNCTION";"''";"''"
69444;;;"''";"AYNHO SIG BS5002";"''";"''"
69442;;;"''";"AYNHO UP GOODS LOOP";"''";"''"
8621;;;"''";"AYR CARRIAGE CLEANING";"''";"''"
8614;;;"''";"AYR DEPOT";"''";"''"
8607;;;"''";"AYR HARBOUR";"''";"''"
8608;;;"''";"AYR HARBOUR FHH";"''";"''"
8616;;;"''";"AYR SIG 859";"''";"''"
8617;;;"''";"AYR SIG. PA853";"''";"''"
8615;;;"''";"AYR WAGON REPAIR DEPOT";"''";"''"
7265;;;"''";"B O C";"''";"''"
19130;;;"''";"B QUAY SIDING";"''";"''"
87113;;;"''";"B R CARRIAGE SIDINGS";"''";"''"
87151;;;"''";"B R CARRIAGE SIDINGS";"''";"''"
66306;;;"''";"B S C";"''";"''"
14241;;;"''";"B S C 20 MILL";"''";"''"
68147;;;"''";"B W B";"''";"''"
66407;;;"''";"B'HAM MOOR ST SIG WM190";"''";"''"
66406;;;"''";"B'HAM SNOW HILL SIGNAL 459";"''";"''"
23490;;;"''";"BABWORTH LOOP";"''";"''"
72404;;;"''";"BACKING OUT ROADS";"''";"''"
81003;;;"''";"BADMINTON";"''";"''"
79613;;;"''";"BAGLAN BAY (COLAS)";"''";"''"
79612;;;"''";"BAGLAN BAY BP CHEM FLINER HH";"''";"''"
79611;;;"''";"BAGLAN BAY BP CHEMICALS EWS";"''";"''"
79614;;;"''";"BAGLAN BAY RPT (COLAS)";"''";"''"
32123;;;"''";"BAGULEY FOLD JUNCTION";"''";"''"
58136;;;"''";"BAGWORTH JN REFUGE SDGS";"''";"''"
4637;;;"''";"BAILEYFIELD";"''";"''"
738;;;"''";"BAISIEUX  (FRANCE)";"''";"''"
87927;;;"''";"BALCOMBE TUNNEL JUNCTION";"''";"''"
41124;;;"''";"BALDERTON TUNNEL & LC";"''";"''"
85530;;;"''";"BALDHU";"''";"''"
87225;;;"''";"BALHAM JN";"''";"''"
40306;;;"''";"BALLAST HOLE SDGS";"''";"''"
3104;;;"''";"BALLINLUIG";"''";"''"
23175;;;"''";"BALNE SB";"''";"''"
23177;;;"''";"BALNE SIGNAL D864";"''";"''"
23176;;;"''";"BALNE SIGNAL Y863";"''";"''"
30165;;;"''";"BALSHAW LANE";"''";"''"
86079;;;"''";"BALTIC SIDING";"''";"''"
30140;;;"''";"BAMBER BRIDGE ENG REC SDG";"''";"''"
35155;;;"''";"BAMFURLONG JUNCTION";"''";"''"
69433;;;"''";"BANBURY CATTLE RD SIDINGS";"''";"''"
69423;;;"''";"BANBURY DOWN GOODS LOOP";"''";"''"
70137;;;"''";"BANBURY LANE LEVEL CROSSING";"''";"''"
69428;;;"''";"BANBURY RESERVOIR <REDLAND>";"''";"''"
69432;;;"''";"BANBURY SIGNAL 12";"''";"''"
69431;;;"''";"BANBURY SIGNAL 21";"''";"''"
69434;;;"''";"BANBURY SIGNAL 9";"''";"''"
69430;;;"''";"BANBURY SIGNAL BS32";"''";"''"
69427;;;"''";"BANBURY SOUTH SB";"''";"''"
69426;;;"''";"BANBURY TAMPER SIDING";"''";"''"
69421;;;"''";"BANBURY UP GOODS LOOP";"''";"''"
69420;;;"''";"BANBURY UP SIDINGS";"''";"''"
40040;;;"''";"BANGOR C.S.";"''";"''"
40034;;;"''";"BANGOR FREIGHT DEPOT";"''";"''"
40032;;;"''";"BANGOR SIG. BR37";"''";"''"
8829;;;"''";"BANK JN";"''";"''"
8413;;;"''";"BARASSIE JN";"''";"''"
8410;;;"''";"BARASSIE JN D.P.L.";"''";"''"
8412;;;"''";"BARASSIE JN U.G.L.";"''";"''"
